QuestionIDwithQuestionyears,book_chapter,topics,QuestionText,Marks,SubQuestion1,SubMarks1,SubQuestion2,SubMarks2,SubQuestion3,SubMarks3,SubQuestion4,SubMarks4,SubQuestion5,SubMarks5,SubQuestion6,SubMarks6,SubQuestion7,SubMarks7,SubQuestion8,SubMarks8
2016-1B-1,A1-3,多媒體檔案格式,"芝芝義務為某校友會製作一本電子紀念刊，當中包含一些舊相片。 (a) 在製作過程中，為什麼芝芝應掃描相片而不直接使用它們？試舉出兩個原因。",8,"(c) (i) 試舉出三項規格，它們會影響掃描後相片的質素和檔案大小。",2,"(d) 芝芝應如何儲存掃描後的相片檔案，使她在日後可有效地搜尋它們？試舉出兩個方法。",2,,,,,,,,,,,,
2016-1B-2,C1-2,電郵協定,"永強是一名中學生，他使用流動裝置來接達互聯網。 (a) 試舉出兩個電郵協定。採用其中一個協定有什麼好處？",7,"(b) 互聯網服務供應商(ISP)為永強的流動裝置提供DNS服務。試描述DNS的主要功能。",2,"(c) 永強收到一封垃圾電郵，當中附有一個超連結。當他點擊此超連結時，會有什麼潛在風險？試舉出兩個例子。",2,,,,,,,,,,,,
2016-1B-3,B-2,電腦硬件,"某公司正考慮採用資訊科技方案P或Q，以提升其會計系統的表現。方案P：購買一部附有會計軟件的新伺服器。方案Q：租用網上會計服務。 (a) 試描述採用方案P的一個優點和採用方案Q的一個優點。",8,"(b) (i) 在會計系統內，快取記憶體和匯流排系統有什麼功能？",2,"(c) 小芬希望會計系統內，有一些設計可減少長時間使用該系統對健康造成的威脅。試描述這些設計的兩個例子。",2,"(d) 試舉出方案R的兩個缺點。",2,,,,,,,,,,
2016-1B-4,A2-4,試算表,"某玩具店的銷售點系統附有條碼掃描器。 (a) (i) 條碼通常包含什麼數據？",10,"(a) (ii) 除了條碼內的數據外，從銷售點系統的數據庫還可獲取什麼數據？試舉出兩個例子。",2,,,,,,,,,,,,,,,
2016-1B-5,A2-5,數據庫,"某公司利用數據庫來儲存產品和顧客的記錄。 CUST (CUSTNO, CNAME) PROD (PRODNO, PNAME, PRICE) SALE (CUSTNO, PRODNO, QTY, PDATE) (a) 某流動裝置製造商為其裝置選擇合適的內置儲存媒體。 (i) 試建議一個合適的儲存媒體，並舉出一個原因。",9,,,,,,,,,,,,,,,,
2017-1B-1,C2-5,網絡安全風險,"WAPP公司開發了一個即時通訊應用程式。莉莉在她的平板電腦上使用這個應用程式，與她的朋友通訊。 (a) 這個應用程式提供一個加密功能，所有訊息在發送前均會被加密。試舉出這個功能的一個好處及一個缺點。",10,"(b) 這個應用程式容許用戶使用一些符號的符號發送訊息。然而，這些符號在電腦儲存時並不是以圖像形式表示。解釋這些符號如何表示及以這形式表示的好處。",2,"(c) 莉莉使用平板電腦拍攝視像，並透過這個應用程式發送給她的朋友志輝。她發覺接收到的視像檔案大小比原來的的小。試舉出這個應用程式縮減視像檔案大小的兩個好處。",2,"(d) 莉莉習慣每天在她的工作地方連續四小時在其平板電腦上使用這個應用程式。試舉出一項她可能會遇到的健康問題，並建議一個舒緩此問題的方法。",2,"(e)(i) 舉出儲存在中央伺服器內的用戶數據，可對莉莉有利的兩個用途。",2,"(e)(ii) 舉出這項要求所潛在的兩個私隱威脅。",2,,,,,,
2017-1B-2,A1-3,多媒體檔案格式,"志明參加了校內由王老師舉辦的視像比賽。(a)(i) 王老師要求學生以MP4或AVI格式提交視像作品。試舉出這兩種視像格式的兩個主要差異。",12,"(a)(ii) 王老師不會使用系統軟件來播放這些視像作品。為什麼？試以系統軟件的功能作解說。",2,"(b) 志明估計1秒視像需25MB儲存空間。王老師只接受不超過30GB檔案大小的視像作品。志明最長可拍攝多久的視像？請展示你的計算，並將你的答案以分鐘顯示。",2,"(c)(i) 該網站使用串流方法來傳送視像。這個方法的主要優點是什麼？試簡略說明。",2,"(c)(ii) 為什麼該網站在視像設定上提供1280x720、720x405和240x135這些不同的選項？",2,"(d) 志明打算利用在網站上已發布的視像來製作他的作品。為了避免侵犯版權，志明應做什麼？舉出兩個例子。",2,,,,,,
2017-1B-3,B-2,儲存設備,"某鐵路公司開發一個電腦系統，在車站設置具有觸式顯示屏幕的資訊亭。(a) 資訊亭的顯示屏幕上應顯示以下列車的資訊，並協助乘客查找列車的到達時間和月台編號...試設計資訊亭的互動式版面，並加注釋。",12,"(b)(i) 舉出快閃記憶體與RAM的一個不同之處。",1,"(b)(ii) 舉出快閃記憶體與ROM的一個不同之處。",1,"(c) 從車站D到車站G的行車時間估計是多少？",1,"(d) 完成以下算法，以計算從車站A到車站J估計的行車時間。",4,"(e) 在循環內使用變量X和Y而不使用常數的主要優點是什麼？",2,,,,,,
2017-1B-4,A2-5,數據庫,"志偉在某學校電腦系統中使用數據庫表格STUDENT來儲存2017年度畢業生的資料。(a)(i) PNO可能不適合作為主關鍵碼。為什麼？試簡略說明。",12,"(a)(ii) 除了HKID和REGNO外，試為STUDENT建議一個主關鍵碼。",1,"(b) 舉出志偉應對HKID進行的兩類有效性檢驗。",2,"(c)(i) 志偉不能以ASCII來表示STUDENT內的數據。為什麼？",1,"(c)(ii) 志偉需要使用Unicode而非Big-5碼來表示STUDENT內的數據。為什麼？",1,"(c)(iii) 比較Unicode和Big-5碼的儲存大小要求。",1,"(d) 假設STUDENT有以下五筆記錄...執行以下SQL語句的輸出是什麼？SELECT CLASS, COUNT(*) FROM STUDENT GROUP BY CLASS",2,"(e) 志偉嘗試使用樞紐分析表來進行上述任務。完成下列建立此樞紐分析表的步驟。",3
2017-1B-5,C1-2,網絡協定,"某個網上購物網站為客戶提供不同類型的服務。(a) 客戶在該網站上可進行一些涉及以下協定的互聯網活動。試為每個協定舉出一個互聯網活動的例子。HTTP、SSL、SMTP",14,"(b)(i) 向不同收件人發送電子郵件時，「收件者」和「副本」之間的主要分別是什麼？",1,"(b)(ii) 在此群組電子郵件中，小芬看不到其他收件人的電郵地址。為什麼？",1,"(c)(i) 建議兩項措施來使登入密碼更安全。",2,"(c)(ii) 網站計畫採用權標來加強保安。權標是如何幫助驗證客戶身分？",2,,,,,,,,
2018-1B-1,B-1,輸入及輸出設備,"某中學開發一個綜合網上學生系統，在校園內提供一些工作站讓學生使用及接達此系統。(a)(i) 這些工作站的輸入設備有下列兩個安裝選項。舉出每個選項的優點。觸式屏幕、鍵盤和滑鼠",8,"(a)(ii) 除了顯示屏和打印機外，建議這些工作站的另一附加輸出設備，並解說其用途。",1,"(b) 安裝這些工作站需要網絡界面卡、網絡電纜和交換器。簡略說明這些硬件的用途。",3,"(c) 舉出使用此學生系統勝於閱讀圖書館英文書籍對學習的兩點好處。",2,"(d)(i) 學生可由此系統所接收到的所有電郵，自動轉寄到他們個人電郵戶口。這做法對學生有什麼主要好處？",1,"(d)(ii) 舉出M2勝於M1的好處。",1,"(d)(iii) 舉出M1勝於M2的好處。",1,,,
2018-1B-2,C2-5,網絡安全風險,"志明是某學校的資訊科技技術員。(a)(i) 此抗電腦病毒軟件需要進行更新。為什麼？舉出兩個原因。",12,"(a)(ii) 除了抗電腦病毒軟件之外，為學校網絡建議另一個保安措施，並舉出這措施可減低的保安威脅。",2,"(b)(i) 成批工件處理，並行式處理，以及實時處理，哪種操作模式最能描述志明的工作？簡略說明你的答案。",2,"(b)(ii) 志明瀏覽一網站來下載某免費軟件...舉出這些操作系統的兩項差異。",2,"(c)(i) 除了家庭收入之外，提出引致數碼隔閡的兩個重要因素。",2,"(c)(ii) 舉出兩個彌收數碼隔閡的方法。",2,,,,,,
2018-1B-3,A1-3,多媒體檔案格式,"某大學所有課室均會錄影，吳先生是該大學的資訊科技助理，他打算建構一個網上系統，讓學生觀看這些視像。(a) 比較AVI和MP4，舉出使用每種格式來儲存這些視像的一個好處。",9,"(b) 吳先生為每個課程分配60GB儲存空間，在此系統內，每1分鐘視像大概佔用11MB。估算每個課程最多可以儲存視像的時數。請展示你的計算。",2,"(c)(i) 他發覺使用數據壓縮程式幫助不大。為什麼？",1,"(c)(ii) 他發覺使用磁碟重組軟件也幫助不大。為什麼？",2,"(c)(iii) 在不改變所分配儲存空間大小的前提下，為吳先生建議一個解決方案。",1,"(d) 吳先生考慮使用串流傳輸技術來現場直播課堂。舉出應用串流傳輸技術的一個好處，並指出它的一項限制。",2,"(e) 公開密碼匙的基礎建設(PKI)是否適合防止竊聽和資訊阻截？簡略說明。",2,,,
2018-1B-4,A2-5,數據庫,"王小姐使用數據庫表ACT來儲存她的學校內課外活動的資料... (a) 解釋為什麼TEACHER不能成為ACT的主關鍵碼。利用一個例子來展示你的答案。",9,"(b) 執行以下SQL語句後的輸出是什麼？SELECT TYPE, SUM(QUOTA) FROM ACT GROUP BY TYPE",2,"(c)(i) 王小姐於CODE內定義一項有效性檢驗的規則...在五筆記錄中哪一個CODE的值是無效的？",1,"(c)(ii) QUOTA儲存每項活動的限額。建議兩項在QUOTA上進行的有效性檢驗。",2,"(d)(i) 王小姐在D8輸入公式，以儲存活動的平均限額。寫出D8的公式。",1,"(d)(ii) 王小姐利用D11和D12來分別儲存TYPE=‘A’和TYPE=‘B’的活動數目。她在D11輸入公式，然後複製到D12。寫出D11的公式。",2,"(e) 現在有三個新的課外活動...王小姐需要預備一個包含數張投影片的演示...草擬這個演示的版面設計，並加注釋。",3,,,
2018-1B-5,D1-2,算法設計,"莉莉設計了一個猜數字遊戲的算法... (a) 假設ANSWER的值是19。為每個值輸出建議一個值來測試這個算法。",10,"(b)(i) 完成下列算法這些修改。",4,"(b)(ii) 如果刪除行號14「如果(GUESS = ANSWER)則」，這個算法的輸出可能是錯誤的。為什麼？",1,"(c)(i) 莉莉授權此程式為開放源碼軟件。用戶可對此程式做什麼？舉出兩個例子。",2,"(c)(ii) 有些用戶在其流動裝置上安裝這個程式，並每天長時間玩這個遊戲，因而引致了一些健康問題。除了休息之外，建議兩個可舒緩這些健康問題的方法。",2,,,,,,
