QuestionIDwithQuestionyears,book_chapter,topics,QuestionText,OptionA,OptionB,OptionC,OptionD,answer,Marks,Type
2016-1-6,A1-3,多媒體檔案壓縮,莉莉建立了一個壓縮檔，當中包含儲存於多個資料夾中的圖像檔案。她上載該壓縮檔至互聯網與朋友分享。使用壓縮檔有什麼好處？ (1)維持資料夾結構 (2)莉莉的朋友在下載此壓縮檔前可以預覽圖像 (3)此壓縮檔可以使用密碼保護,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC
2016-1-7,A1-3,數字系統與表示法,參考以下P、Q和R的值。 P = 100010002 Q = 1000100010 R = 1000100016 下列哪項是正確的？,R > Q > P,Q > R > P,Q > P > R,R > P > Q,D,2,MC
2016-1-8,A1-3,二進制補碼,11111111是一個8位二進制補碼數字，其十進制數值是什麼？,-1,0,1,255,A,2,MC
2016-1-9,A1-1,資訊時代,下列哪些是資訊時代的特點？ (1)資訊透過互聯網廣泛散布 (2)公眾人士可快速獲取資訊 (3)在互聯網上所有公司的資料是正確的,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),A,2,MC
2016-1-10,A2-4,試算表,當編輯試算表內的數值數據時 ，下列哪句是正確的？,只可自動更新相關的數值數據。,只可自動更新附有這些數值數據的相關圖表。,只可自動更新在單一工作表內的相關數據。,可自動更新多個工作表內的相關數據。,D,2,MC
2016-1-14,B-3,演示軟件,莉莉使用演示軟件建立了一個附有旁白而可自動執行的投影片放映，她將此投影片放映上載到她的網站供公眾人士觀看。下列哪項是莉莉在建立投影片放映時必須做的？,設定每張投影片的放映時間,在投影片內建立超連結,在投影片內建立動畫效果,在投影片內加插背景音樂,A,2,MC
2016-1-15,A1-3,多媒體檔案格式,當莉莉選擇投影片放映的檔案格式時，下列哪項是重要的？,支援加密,跨平台,物件連接與嵌人(OLE),支援SQL,B,2,MC
2016-1-16,A1-3,字符編碼,下列哪項／些是使用統一碼勝於大五碼的優點？ (1)統一碼是跨平台的 (2)統一碼有較大的字符集 (3)在統一碼內可定義新的字符,只有(1),只有(2),只有(1)和(3),只有(2)和(3),B,2,MC
2016-1-17,B-3,運作方式,某訂票系統包含了多個訂票櫃位，分布在市內不同地方·顧客可在其中一個訂票櫃位購買戲院門票。下列哪項最能描述此訂票系統？,實時系統,成批工件處理系統,分布式處理系統,並行式處理系統,A,2,MC
2016-1-18,B-2,電腦硬件,志明發覺在編輯視像檔時，其家中電腦的表現比其辦公室的電腦為佳。下列哪項／些是可能的成因？ (1)硬碟讀／寫存取速度 (2) ROM的儲存容量 (3) CPU的時鐘比率,只有(1),只有(2),只有(1)和(3),只有(2)和(3),C,2,MC
2016-1-19,B-3,操作系統,下列哪些是操作系統通常設有的功能？ (1)控制程序 (2)分配記憶體 (3)記錄網絡流量,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)·(2)和(3),D,2,MC
2016-1-20,B-2,中央處理器,某CPU的時鐘比率是2GHz 。 下列哪句是正確的？,此CPU每秒執行2x10^9 個指令,此CPU每秒以2x10^9 個時鐘周期工作,此CPU的快取記憶體每秒傳送2x10^9 個指令,此CPU的 ALU部件運算一個指令需要2x10^9 個時鐘周期,B,2,MC
