QuestionID,QuestionBook,QuestionTopics,QuestionText,QuestionType,OptionA,OptionB,OptionC,OptionD,
DSE2020_Q12,A1_Ch.1,資訊系統應用,某教師為演講建立了包括圖表等元素的演示。該教師應編輯投影片的哪項（些）元素以建立更吸引的演示？(1) SQL (2) 字型 (3) 圖表,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q13,A1_Ch.1,數據收集實例,下列哪項處理是數據收集的例子？,單選題,讀取煤氣表讀數,插入銀行卡至自動櫃員機,把相片放置在掃描器上掃描,把測驗分數輸入至試算表,
DSE2021_Q01,A1_Ch.1,應用軟件 (文字處理),下列哪項在文字處理軟件內可有效地格式化一份文件？ (1) 最常用的字型和字體大小設定成預設值 (2) 標題可使用預先設定的樣式 (3) 啓用自動校正功能,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2021_Q06,A1_Ch.1,文字處理應用 (目錄),子添使用文字處理軟件中的「目錄」功能。當插入一個新章節時，_______。,單選題,子添須輸入公式來計算頁碼,子添須在目錄內輸入章節名稱,頁碼可相應地更新,新章節會被插入為最後的一章,C
DSE2021_Q07,A1_Ch.1,演示軟件應用 (旁白),志傳在演示檔內加入錄製旁白。下列哪句是正確的？ (1) 演示的檔案大小增加 (2) 演示內的投影片數目增加 (3) 未能把視像嵌入附有旁白的投影片,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2021_Q08,A1_Ch.1,資訊處理流程 (郵件合併),莉莉計劃向特選客戶發出邀請信。她應進行什麼資訊處理過程？ (1) 篩選 (2) 郵件合併 (3) 「假設」分析,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2021_Q10,A1_Ch.1,物件連結與嵌入 (OLE),志明利用物件連結與嵌入 (OLE) 把圖片 X 和試算表 Y 加入文檔 Z。下列哪句是正確的？,單選題,OLE 不能應用於 X 的檔案格式,在志明行動前，X 的檔案大小應小於 Z,志明完成其行動後，Z 的檔案大小將會大於 Y,改變 Y 內的數據可影響隨後 Z 的列印本,D
DSE2021_Q24,A1_Ch.1,用戶界面設計 (UI),超級市場提供網上購買平台。設計用戶界面時應考慮下列哪項？ (1) 字型大小 (2) 顏色 (3) 語言,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2022_Q06,A1_Ch.1,資訊處理流程,下列哪項關於資訊處理階段的例子是正確的？,單選題,數據收集：製作統計圖表,數據預備：輸入前核實問卷資料,數據處理：把問卷排序以便輸入,數據組織：設計線上問卷,B
DSE2022_Q08,A1_Ch.1,應用軟件 (郵件合併),下列哪些關於郵件合併是正確的？(1) 數據庫可用作數據來源 (2) 主文件與數據來源可合併成一個文件 (3) 合併完成後欄位內容在文件內插入,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2022_Q09,A1_Ch.1,演示軟件功能 (旁白),下列哪項關於設有多張投影片並輔以旁白的演示是正確的？,單選題,該演示是一個網頁演示,該演示應是 MP4 格式,旁白可以個別地於每張投影片錄製,每張投影片內旁白播放時間相同,C
DSE2022_Q13,A1_Ch.1,系統開發 (目的),當開發一個資訊管理系統時，下列哪項應是首要考慮？,單選題,涉及的技術,涉及的人員,系統的成本,系統的目的,D
DSE2023_Q07,A1_Ch.1,演示軟件應用,在使用演示軟件建構專題研習的演示時，應考慮以下哪項？ (1) 投影片的佈局 (2) 配色方案 (3) 投影片的次序,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2023_Q09,A1_Ch.1,資訊處理 (郵件合併),下列哪項以文字處理器進行郵件合併是不需要的？,單選題,數據來源,主文件,合併欄位,欄位長度,D
DSE2023_Q12,A1_Ch.1,物件連結與嵌入 (OLE),以下哪些可能涉及物件連接與嵌入 (OLE)？ (1) 以郵件合併建立文件 (2) 建立一個樞紐分析表 (3) 在一張演示投影片插入圖像,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2025_Q02,A1_Ch.1,資訊系統 (輸出因素),以下哪項／些將影響資訊系統的輸出？(1) 更改輸入數據 (2) 使用不同的 CPU (3) 更改儲存裝置的類型,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2025_Q05,A1_Ch.1,數據收集與分析,小芬進行步驟以完成報告。哪些步驟是數據收集和數據分析？(1) 分發報告 (2) 檢查報告 (3) 計算字數 (4) 提交完整報告,多選題,(1) ; (2),(1) ; (3),(2) ; (4),(4) ; (3),D
DSE2025_Q21,A1_Ch.1,資訊系統 (電子商貿),以下常見電子商貿活動步驟的正確次序是什麼？(1) 選擇產品 (2) 記錄交易詳情 (3) 核對信用卡資料 (4) 提供交易編號 (5) 發送產品,單選題,(1)→(2)→(4)→(3)→(5),(1)→(2)→(3)→(4)→(5),(1)→(3)→(2)→(4)→(5),(1)→(4)→(3)→(2)→(5),B
DSE2020_Q01,A1_Ch.2,數據有效性檢驗,某香港身份證號碼被錯誤地輸入了電腦系統。下列哪些可幫助找出此錯誤？(1) 範圍檢查 (2) 輸入數據兩次 (3) 檢查數位,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),
DSE2020_Q21,A1_Ch.2,儲存媒體存取,下列哪項（些）只支援順序存取？(1) DVD-RW (2) 磁帶 (3) 快閃記憶體,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2021_Q09,A1_Ch.2,數據核驗 (Verification),在網上系統內要求用戶輸入密碼兩次的目的是什麼？,單選題,數據有效性檢驗 (應為核驗),數據檢索,數據組織,數據預備,A
DSE2022_Q01,A1_Ch.2,數據控制 (奇偶檢驗),某電腦接收了三組數據序列，每組包含一個奇偶檢驗位，發現其中兩組在傳送時損壞。下列哪項最能描述此情況？,單選題,第一組和第二組；偶數,第二組和第三組；偶數,第一組和第二組；奇數,第二組和第三組；奇數,A
